word,x,y,node_id
人本,0.5354358345437066,-0.5252066676696427,0
新詩,0.029962945223578,-0.08889770426766716,1
東西,0.19576232777045946,0.052143902203245836,2
作家,0.19336948921239155,-0.17182714033421756,3
風格,0.45061916580082134,-0.2620994654750144,4
世界,-0.10962425260327822,-0.01600264006294098,5
太平,-0.1349675118502742,-0.25159345298552305,6
木偶,0.09685514268410177,0.18760481330286916,7
克利斯,-0.14711662170722362,-0.15421446801613034,8
精神,0.2866907718916336,-0.4169985923545013,9
人生,0.30811673522955757,-0.24152109970749885,10
人類,0.6947181419541061,-0.3719138189986691,11
馬來亞,-0.6788391191309562,-0.42808565337324633,12
目標,0.7375467181932697,0.5745784641338234,13
燦爛,0.48801198124677114,-0.7222180871180099,14
個性,-0.38133618893588545,0.36548349512899414,15
主義者,-0.7307177375503462,-0.6690584145332779,16
酒鬼,0.16252844807989164,-0.9614513901160732,17
十條,-0.800693220621461,0.6261401967052667,18
雜誌,0.3418281202303986,0.9272514519074496,19
阿端,0.22500449048084353,0.8917215712689424,20
時間,-0.21425466294392023,-0.6557246186388795,21
文藝,0.7534721356316416,-0.5121321546618584,22
着重,-0.8899494841903272,-0.5296272733285152,23
生命,0.8089919070055708,-0.20923959391336158,24
一家,0.32053433003050674,0.7058999025587301,25
老太婆,0.5990234841820632,0.7257727149799046,26
房子,-0.8764317052351286,0.49081924305860786,27
中國,-0.1043039489961477,0.8621549312454745,28
音樂,-0.729388793274922,-0.5791725049421007,29
下午,0.8661691738937887,0.3854491119588878,30
寫實主義,-0.22943783618151276,-0.983379687927027,31
司機,-0.8571912722372202,0.3544396171786861,32
太陽,-0.36949615505625677,0.8874298760336692,33
內容,0.34670453319596234,-0.8322972916863983,34
晚上,0.30744267399846986,-0.9396914770334165,35
事物,0.7116380944073322,0.6784409258863898,36
理性,-0.0877006954581334,-0.9614893364045495,37
革命,0.947434857597376,-0.18898389761361706,38
生活,-0.3916730556485669,0.7427837802114505,39
日子,-0.04851841047684305,0.9438385513479863,40
兒子,-0.6639514898454453,0.6569410062383092,41
小說,-0.98175709679666,0.21324529399270523,42
愛,0.5014718841537155,0.7909886004496063,43
蘿蕾蒂,-0.9160721069045368,-0.04417163207612023,44
時代,-0.9260203101224516,-0.18851391316649294,45
歌聲,-0.9526182212164438,-0.31691830340454546,46
一團,0.4716599131790316,-0.9064865741829269,47
孩子,0.8510402987359231,0.5123859309183362,48
文化,-0.8698795840735605,0.17926006000972874,49
文學史,-0.6279232696380539,-0.8055956901497792,50
瘋狂,-0.6073339629609436,0.7844506864096671,51
十九世紀,0.07721282809399346,0.8848527932348952,52
清明,0.9173592501090186,0.19876460944281812,53
忽然,-0.45116937797494266,-0.9226779664132544,54
詩篇,0.8338244753132008,0.26564395837237736,55
含羞草,-0.9999999999999999,-0.010248620887518833,56
藝術,-0.23015776763604529,0.9014306110991458,57
事情,0.04215787990594813,-0.9807158221108041,58
天才,0.970559544056671,-0.028930044585032375,59
夜風,0.9353762832357388,0.08716889886064311,60
