target_word,similar_word,similarity_score,method,model
人,昏花,0.9942476153373718,euclidean,fasttext
人,忌妒,0.9941946864128113,euclidean,fasttext
人,六口,0.9941057562828064,euclidean,fasttext
人,姘居,0.9939789772033691,euclidean,fasttext
人,椰雨,0.9937679171562195,euclidean,fasttext
人,明燈,0.9936649799346924,euclidean,fasttext
人,獨居,0.993537962436676,euclidean,fasttext
人,家貧,0.9934030771255493,euclidean,fasttext
人,黑仔,0.993105947971344,euclidean,fasttext
人,劉強,0.9929112792015076,euclidean,fasttext
人,哀聲,0.9925154447555542,euclidean,fasttext
人,司庫,0.9924587607383728,euclidean,fasttext
人,知微,0.9923660159111023,euclidean,fasttext
人,出資,0.992292046546936,euclidean,fasttext
人,馬食,0.992235541343689,euclidean,fasttext
人,蔣保,0.99216628074646,euclidean,fasttext
人,情郎,0.9920692443847656,euclidean,fasttext
人,立的,0.9919469952583313,euclidean,fasttext
人,附會,0.9919114708900452,euclidean,fasttext
人,老馬,0.9918617606163025,euclidean,fasttext
