target_word,similar_word,similarity_score,method,model
人,六口,0.994272419577003,manhattan,fasttext
人,忌妒,0.9942063660084011,manhattan,fasttext
人,昏花,0.9941770911928269,manhattan,fasttext
人,姘居,0.9938809241127499,manhattan,fasttext
人,明燈,0.9936852458001196,manhattan,fasttext
人,椰雨,0.9936556590835083,manhattan,fasttext
人,黑仔,0.9933716516705715,manhattan,fasttext
人,獨居,0.9933532393904483,manhattan,fasttext
人,家貧,0.9933052650013203,manhattan,fasttext
人,劉強,0.9928618577521079,manhattan,fasttext
人,知微,0.9926405077894542,manhattan,fasttext
人,司庫,0.9926381294208421,manhattan,fasttext
人,哀聲,0.9925696128949895,manhattan,fasttext
人,出資,0.9925257424029225,manhattan,fasttext
人,情郎,0.9923665134955236,manhattan,fasttext
人,馬食,0.9923631184780356,manhattan,fasttext
人,立的,0.9923233186809736,manhattan,fasttext
人,蔣保,0.9921893864228815,manhattan,fasttext
人,某地,0.9921154410842741,manhattan,fasttext
人,搶去,0.9920966035658821,manhattan,fasttext
