target_word,similar_word,similarity_score,method,model
人文,生,0.5104731321334839,euclidean,bert
人文,們,0.5090339779853821,euclidean,bert
人文,後,0.5043246150016785,euclidean,bert
人文,此,0.5037726163864136,euclidean,bert
人文,過,0.48678481578826904,euclidean,bert
人文,這,0.48311513662338257,euclidean,bert
人文,地,0.4796314239501953,euclidean,bert
人文,時,0.4766123294830322,euclidean,bert
人文,主,0.47579383850097656,euclidean,bert
人文,十,0.47057753801345825,euclidean,bert
人文,着,0.46482330560684204,euclidean,bert
人文,年,0.4586538076400757,euclidean,bert
人文,民,0.45155829191207886,euclidean,bert
人文,小,0.44568413496017456,euclidean,bert
人文,正,0.44273585081100464,euclidean,bert
人文,手,0.4416167140007019,euclidean,bert
人文,子,0.4220896363258362,euclidean,bert
人文,天,0.41982191801071167,euclidean,bert
人文,或,0.41913580894470215,euclidean,bert
人文,建,0.4173809289932251,euclidean,bert
