target_word,similar_word,similarity_score,method,model
人文,地,0.5244199212808511,manhattan,bert
人文,們,0.4966072820410531,manhattan,bert
人文,這,0.4906552255529796,manhattan,bert
人文,生,0.48969379146500425,manhattan,bert
人文,此,0.4892131337374862,manhattan,bert
人文,後,0.48522057675442387,manhattan,bert
人文,主,0.47432790282597037,manhattan,bert
人文,過,0.47358030485484726,manhattan,bert
人文,或,0.46730643140181294,manhattan,bert
人文,時,0.46375884178928817,manhattan,bert
人文,着,0.4569942169597182,manhattan,bert
人文,十,0.45098305469642574,manhattan,bert
人文,種,0.4482844663521206,manhattan,bert
人文,小,0.4386289832828757,manhattan,bert
人文,年,0.43592454177410467,manhattan,bert
人文,便,0.43509963369764515,manhattan,bert
人文,正,0.43421969820467,manhattan,bert
人文,建,0.42680503476990606,manhattan,bert
人文,民,0.42337633134894914,manhattan,bert
人文,手,0.42238538383896373,manhattan,bert
