target_word,similar_word,similarity_score,method,model
人文,黑仔,0.375,jaccard,fasttext
人文,輕撫,0.3670886075949367,jaccard,fasttext
人文,明燈,0.36,jaccard,fasttext
人文,身傍,0.358974358974359,jaccard,fasttext
人文,謝絕,0.358974358974359,jaccard,fasttext
人文,頭路,0.35443037974683544,jaccard,fasttext
人文,明晰,0.35443037974683544,jaccard,fasttext
人文,梗住,0.35443037974683544,jaccard,fasttext
人文,知微,0.35064935064935066,jaccard,fasttext
人文,捕得,0.35064935064935066,jaccard,fasttext
人文,奇味,0.35064935064935066,jaccard,fasttext
人文,兩臂,0.35064935064935066,jaccard,fasttext
人文,企及,0.35064935064935066,jaccard,fasttext
人文,濫用,0.35,jaccard,fasttext
人文,會經,0.3466666666666667,jaccard,fasttext
人文,促使,0.34615384615384615,jaccard,fasttext
人文,盲婚,0.34615384615384615,jaccard,fasttext
人文,摘錄,0.34615384615384615,jaccard,fasttext
人文,教材,0.34615384615384615,jaccard,fasttext
人文,號碼,0.34615384615384615,jaccard,fasttext
