target_word,similar_word,similarity_score,method,model
人文,椰雨,0.9960910929814291,manhattan,fasttext
人文,昏花,0.9959023984838147,manhattan,fasttext
人文,姘居,0.9956570431142373,manhattan,fasttext
人文,忌妒,0.9956109963976004,manhattan,fasttext
人文,明燈,0.9955990372634071,manhattan,fasttext
人文,六口,0.9955819058406056,manhattan,fasttext
人文,黑仔,0.9951037318365388,manhattan,fasttext
人文,家貧,0.9950697263360511,manhattan,fasttext
人文,獨居,0.9945596732249362,manhattan,fasttext
人文,劉強,0.9944177310626263,manhattan,fasttext
人文,知微,0.9942835473136763,manhattan,fasttext
人文,馬食,0.994175766746408,manhattan,fasttext
人文,哀聲,0.9939171236111453,manhattan,fasttext
人文,司庫,0.9937944544691536,manhattan,fasttext
人文,附會,0.9936611205374505,manhattan,fasttext
人文,野鴿,0.993578845607433,manhattan,fasttext
人文,蔣保,0.9935468231206223,manhattan,fasttext
人文,情郎,0.9934601388355837,manhattan,fasttext
人文,出資,0.9934099851711159,manhattan,fasttext
人文,直述,0.9932856296346522,manhattan,fasttext
