target_word,similar_word,similarity_score,method,model
人文主義,表達出來,0.9976842074880733,manhattan,fasttext
人文主義,春花秋月,0.9976451439927767,manhattan,fasttext
人文主義,反過來,0.9976302883780311,manhattan,fasttext
人文主義,這些年來,0.9976202596951412,manhattan,fasttext
人文主義,努力學習,0.9975271641045936,manhattan,fasttext
人文主義,弄璋之喜,0.9975186548795071,manhattan,fasttext
人文主義,一段距離,0.9974241459649942,manhattan,fasttext
人文主義,談得上,0.997419520022964,manhattan,fasttext
人文主義,不見經傳,0.9973805666456883,manhattan,fasttext
人文主義,公務人員,0.9973733661039398,manhattan,fasttext
人文主義,如意算盤,0.9972861337150472,manhattan,fasttext
人文主義,吉蘭丹,0.9972495634226886,manhattan,fasttext
人文主義,最起碼,0.9972169227220307,manhattan,fasttext
人文主義,充分說明,0.9972065255295952,manhattan,fasttext
人文主義,散文集,0.9971750928575867,manhattan,fasttext
人文主義,寫實性,0.9971617005160197,manhattan,fasttext
人文主義,追求者,0.997158517774618,manhattan,fasttext
人文主義,現代化,0.9971472589586128,manhattan,fasttext
人文主義,新鮮事,0.9971375479219324,manhattan,fasttext
人文主義,一個十八九歲,0.9971022758260799,manhattan,fasttext
