target_word,similar_word,similarity_score,method,model
人本,麥,0.5103305785123967,jaccard,bert
人本,者,0.5084033613445378,jaccard,bert
人本,地,0.49064449064449067,jaccard,bert
人本,初,0.48676171079429736,jaccard,bert
人本,後,0.46356275303643724,jaccard,bert
人本,世,0.4601226993865031,jaccard,bert
人本,南,0.4538152610441767,jaccard,bert
人本,器,0.4532803180914513,jaccard,bert
人本,此,0.45161290322580644,jaccard,bert
人本,張,0.44861660079051385,jaccard,bert
人本,時,0.4482758620689655,jaccard,bert
人本,種,0.44715447154471544,jaccard,bert
人本,便,0.44534412955465585,jaccard,bert
人本,或,0.44488977955911824,jaccard,bert
人本,什,0.44488977955911824,jaccard,bert
人本,書,0.4431137724550898,jaccard,bert
人本,力,0.4431137724550898,jaccard,bert
人本,大,0.44246031746031744,jaccard,bert
人本,上,0.442,jaccard,bert
人本,冬,0.442,jaccard,bert
