target_word,similar_word,similarity_score,method,model
人本,推斷,0.4605263157894737,jaccard,fasttext
人本,三兒,0.4520547945205479,jaccard,fasttext
人本,神往,0.44594594594594594,jaccard,fasttext
人本,附會,0.44594594594594594,jaccard,fasttext
人本,漠視,0.44155844155844154,jaccard,fasttext
人本,壽命,0.44,jaccard,fasttext
人本,需求,0.44,jaccard,fasttext
人本,巫師,0.44,jaccard,fasttext
人本,攤盤,0.44,jaccard,fasttext
人本,舊詩,0.44,jaccard,fasttext
人本,贖罪,0.44,jaccard,fasttext
人本,買下,0.44,jaccard,fasttext
人本,久居,0.44,jaccard,fasttext
人本,左思,0.44,jaccard,fasttext
人本,掩蓋,0.4383561643835616,jaccard,fasttext
人本,夥伴,0.4383561643835616,jaccard,fasttext
人本,衰老,0.4383561643835616,jaccard,fasttext
人本,門裏,0.4383561643835616,jaccard,fasttext
人本,評選,0.4342105263157895,jaccard,fasttext
人本,幽寂,0.4342105263157895,jaccard,fasttext
