target_word,similar_word,similarity_score,method,model
人本主義,理論,0.9997618794441223,cosine,fasttext
人本主義,主義,0.9997515678405762,cosine,fasttext
人本主義,足以,0.9997427463531494,cosine,fasttext
人本主義,封建主義,0.9997369050979614,cosine,fasttext
人本主義,人生,0.9997303485870361,cosine,fasttext
人本主義,方法,0.9997279047966003,cosine,fasttext
人本主義,努力,0.9997170567512512,cosine,fasttext
人本主義,另一方面,0.9997166395187378,cosine,fasttext
人本主義,才能,0.9997149705886841,cosine,fasttext
人本主義,文章,0.9997134208679199,cosine,fasttext
人本主義,作爲,0.9997112154960632,cosine,fasttext
人本主義,精神,0.999708890914917,cosine,fasttext
人本主義,欣賞,0.999708890914917,cosine,fasttext
人本主義,本刊,0.9997055530548096,cosine,fasttext
人本主義,出版,0.9997054934501648,cosine,fasttext
人本主義,種種,0.9997053146362305,cosine,fasttext
人本主義,鼓勵,0.9997026920318604,cosine,fasttext
人本主義,自然,0.9997026324272156,cosine,fasttext
人本主義,之中,0.9997024536132812,cosine,fasttext
人本主義,人類,0.9997006058692932,cosine,fasttext
