target_word,similar_word,similarity_score,method,model
人本主義,一無所知,0.9977300197604108,manhattan,fasttext
人本主義,表達出來,0.9976775286737176,manhattan,fasttext
人本主義,聯絡感情,0.9976694270050578,manhattan,fasttext
人本主義,特別注意,0.9975323446099225,manhattan,fasttext
人本主義,不見經傳,0.9974867239855919,manhattan,fasttext
人本主義,歪曲事實,0.9974605052469596,manhattan,fasttext
人本主義,不負責任,0.9973513315546042,manhattan,fasttext
人本主義,畢業考試,0.997342687400484,manhattan,fasttext
人本主義,無可否認,0.9973348960106682,manhattan,fasttext
人本主義,豬八戒,0.9973171913866374,manhattan,fasttext
人本主義,三四百塊,0.9973120200261778,manhattan,fasttext
人本主義,够不上,0.997277208856741,manhattan,fasttext
人本主義,五千年,0.9972570884859574,manhattan,fasttext
人本主義,小流氓,0.9972092991449679,manhattan,fasttext
人本主義,七八年,0.9972032725837211,manhattan,fasttext
人本主義,門路,0.9971984522311355,manhattan,fasttext
人本主義,大部,0.997193367876208,manhattan,fasttext
人本主義,現代化,0.9971819082731187,manhattan,fasttext
人本主義,內容豐富,0.9971731823931195,manhattan,fasttext
人本主義,不相上下,0.9971578723401204,manhattan,fasttext
