target_word,similar_word,similarity_score,method,model
人本主義,理論,0.999762937464461,pearson,fasttext
人本主義,主義,0.9997503933850583,pearson,fasttext
人本主義,足以,0.9997419986085645,pearson,fasttext
人本主義,人生,0.9997386646238409,pearson,fasttext
人本主義,封建主義,0.9997362961772346,pearson,fasttext
人本主義,方法,0.9997310363171003,pearson,fasttext
人本主義,另一方面,0.999720159337271,pearson,fasttext
人本主義,才能,0.9997182571300695,pearson,fasttext
人本主義,努力,0.9997155691749018,pearson,fasttext
人本主義,文章,0.9997131554635816,pearson,fasttext
人本主義,之中,0.9997128746045904,pearson,fasttext
人本主義,作爲,0.9997125445449893,pearson,fasttext
人本主義,出版,0.9997106678845333,pearson,fasttext
人本主義,精神,0.9997092951454019,pearson,fasttext
人本主義,本刊,0.9997092108729829,pearson,fasttext
人本主義,而是,0.9997090735569935,pearson,fasttext
人本主義,欣賞,0.999707609510027,pearson,fasttext
人本主義,種種,0.9997064308411275,pearson,fasttext
人本主義,人類,0.9997045610884049,pearson,fasttext
人本主義,自然,0.9997017092389529,pearson,fasttext
