target_word,similar_word,similarity_score,method,model
人道,們,0.7591212391853333,cosine,bert
人道,後,0.753591775894165,cosine,bert
人道,生,0.7479344606399536,cosine,bert
人道,此,0.7430562973022461,cosine,bert
人道,十,0.7236733436584473,cosine,bert
人道,過,0.7222902774810791,cosine,bert
人道,着,0.7180383205413818,cosine,bert
人道,手,0.7151248455047607,cosine,bert
人道,主,0.7115920782089233,cosine,bert
人道,時,0.7105384469032288,cosine,bert
人道,者,0.7043842077255249,cosine,bert
人道,麥,0.7004769444465637,cosine,bert
人道,年,0.6998810172080994,cosine,bert
人道,地,0.6983919143676758,cosine,bert
人道,子,0.6974413990974426,cosine,bert
人道,正,0.6931686997413635,cosine,bert
人道,米,0.6883447170257568,cosine,bert
人道,食,0.6866079568862915,cosine,bert
人道,這,0.6858526468276978,cosine,bert
人道,民,0.684869647026062,cosine,bert
