target_word,similar_word,similarity_score,method,model
人道,麥,0.565428023534179,spearman,bert
人道,地,0.5223972647302665,spearman,bert
人道,者,0.5093146058224247,spearman,bert
人道,初,0.47431838131948056,spearman,bert
人道,後,0.4738884589105546,spearman,bert
人道,世,0.47307897348017963,spearman,bert
人道,南,0.428656722016605,spearman,bert
人道,此,0.42768142942882864,spearman,bert
人道,什,0.41981768259291347,spearman,bert
人道,們,0.41811552999798235,spearman,bert
人道,小,0.40968927330741595,spearman,bert
人道,或,0.4075187863562458,spearman,bert
人道,便,0.40273755855570226,spearman,bert
人道,過,0.400893785084678,spearman,bert
人道,張,0.4008085900346375,spearman,bert
人道,生,0.3904317216775202,spearman,bert
人道,力,0.38664419770846503,spearman,bert
人道,大,0.38659171904113604,spearman,bert
人道,正,0.38092272491069357,spearman,bert
人道,種,0.3803458304440485,spearman,bert
