target_word,similar_word,similarity_score,method,model
人道,活力,0.9966826438903809,euclidean,fasttext
人道,抵星,0.9966105222702026,euclidean,fasttext
人道,談論着,0.9965382218360901,euclidean,fasttext
人道,氣死,0.9964808225631714,euclidean,fasttext
人道,返回,0.9964748024940491,euclidean,fasttext
人道,做媒,0.9964732527732849,euclidean,fasttext
人道,飛回,0.9964619874954224,euclidean,fasttext
人道,奇景,0.996429979801178,euclidean,fasttext
人道,何妨,0.996416449546814,euclidean,fasttext
人道,嫉恨,0.9964012503623962,euclidean,fasttext
人道,亞齊,0.9963865280151367,euclidean,fasttext
人道,某地,0.9963816404342651,euclidean,fasttext
人道,矮子,0.9963740706443787,euclidean,fasttext
人道,濫用,0.9963704347610474,euclidean,fasttext
人道,結賬,0.9963661432266235,euclidean,fasttext
人道,溫帶,0.9963595867156982,euclidean,fasttext
人道,憂色,0.9963252544403076,euclidean,fasttext
人道,有家,0.9963072538375854,euclidean,fasttext
人道,夥伴,0.9962983131408691,euclidean,fasttext
人道,情郎,0.9962802529335022,euclidean,fasttext
