target_word,similar_word,similarity_score,method,model
人道,夜叉,0.9395129191823615,pearson,fasttext
人道,一通,0.9382228263744944,pearson,fasttext
人道,捏造,0.9374784309964117,pearson,fasttext
人道,慘無人道,0.9374645574493078,pearson,fasttext
人道,台子,0.936925128396595,pearson,fasttext
人道,買些,0.9359951120037665,pearson,fasttext
人道,警長,0.9358356716852868,pearson,fasttext
人道,坐壞,0.935692722001004,pearson,fasttext
人道,榜樣,0.9353457868405687,pearson,fasttext
人道,像片,0.9353117211381619,pearson,fasttext
人道,加速,0.9352895824333529,pearson,fasttext
人道,高價,0.9351599562041663,pearson,fasttext
人道,改一改,0.9351239992012015,pearson,fasttext
人道,優靜,0.9350201801816632,pearson,fasttext
人道,始有,0.9347815194155933,pearson,fasttext
人道,儲藏,0.9347691404817842,pearson,fasttext
人道,差强人意,0.9347374036966262,pearson,fasttext
人道,確乎,0.9346208088078614,pearson,fasttext
人道,六塊,0.9346048897841308,pearson,fasttext
人道,終老,0.9345999670357842,pearson,fasttext
